t,J_propagator,J_onepass,J_bruteforce
1,1.0868355160412797,,1.0868363210221155
2,1.2352739493596148,,1.235275027727152
3,1.423213095316934,,1.4232153509150807
4,1.6493133515542064,,1.6493170835523039
5,1.9106155916660876,,1.9106203738023542
6,2.2020464471429637,,2.2020546839826958
7,2.516376171430658,,2.516385326961715
8,2.8446937993910915,,2.844708227604316
9,3.177369157970572,,3.1773868253894584
10,3.505125856685849,,3.5051478041982724
11,3.819993427195813,,3.820022495905072
12,4.115900257120834,,4.115931627737146
13,4.388832877946017,,4.388872368949146
14,4.63673870320355,,4.636789212652567
15,4.8592112902582345,,4.8592593418313434
16,5.057052821220939,,5.057113278799985
17,5.232022121763575,,5.232074761011124
18,5.386400908841373,,5.386465306488566
19,5.522916561053989,,5.5229908480162155
20,5.644530885155662,,5.644612250647392
21,5.754428178030942,,5.754496205939422
22,5.855967135996276,,5.856045070618814
23,5.952910436962543,,5.953012099763082
24,6.04962639504561,,6.04972269994908
25,6.151352929727533,,6.151446056273089
26,6.2649205297043995,,6.265002199682616
27,6.399668550575444,,6.399761400016631
28,6.569214486446122,,6.5693202463220715
29,6.794250380335997,,6.794359499321749
30,7.107432151593168,,7.107545415587009
31,7.561693703940568,,7.561828901571236
32,8.24378569703227,,8.243929961407844
33,9.294271126207896,,9.29441582339556
34,10.932562307770192,,10.932708847827538
35,13.476263647780534,,13.47639857527368
36,17.32692748661319,,17.32708757537792
37,22.875604109933775,,22.87575853827395
38,30.28394180173812,,30.28406991840059
39,39.163143899047135,,39.16318114534688
40,48.310352717751755,,48.31014264258637
41,55.792511527782096,,55.79248068233811
42,59.61179498160982,,59.611225879911885
43,58.78671539222284,,58.78662702767479
44,54.215524183892555,,54.215747941212186
45,48.63181863600596,,48.63229312113006
46,45.661967463097604,,45.66255668628416
47,48.60543187763822,,48.606280653012256
48,59.477628391871484,,59.478961971247465
49,78.27636426248404,,78.27756974523967
50,101.95955722462104,,101.95971310947247
51,122.47765400529943,,122.476383822434
52,124.04228980374192,,124.04061902034982
53,87.22175656516164,,87.218520575087
54,41.63100964662802,,41.63046823523625
55,2916.3973314637733,,2924.206763223684
56,3012.9950105541957,,3022.056766430335
57,3053.308491106007,,3062.9398760271556
58,3088.007252689505,,3097.740213547073
59,3112.548086990468,,3122.143611794721
60,3121.684460945867,,3131.0104446858613
61,3117.3068330326782,,3126.321807131475
62,3102.7833606677054,,3111.5414820490255
63,3080.839616688314,,3089.2965185767202
64,3053.133385574636,,3061.3056571475063
65,3020.8218839389165,,3028.7326993695037
66,2984.7951161633205,,2992.4620257376387
67,2945.8656496788044,,2953.2928858767464
68,2904.90584700666,,2912.113785308832
69,2863.076977395215,,2870.0650212360933
70,2821.840222216743,,2828.6218345573006
71,2782.9173390232395,,2789.4928642253585
72,2747.909806192891,,2754.3019475303327
73,2717.9572253741494,,2724.191588961738
74,2693.4824326390944,,2699.5832274566096
75,2674.221784963871,,2680.2178242526215
76,2659.479259957329,,2665.3964981809995
77,2648.3942419098894,,2654.252970432669
78,2640.128631824626,,2645.947050404404
79,2633.969882172531,,2639.759779519343
80,2629.34825482397,,2635.119011520652
81,2625.8309561134374,,2631.5894184429394
82,2623.099055503332,,2628.849503805123
83,2620.921341830658,,2626.666922182697
84,2619.1334040617066,,2624.876604054281
85,2617.620977811728,,2623.36293875359
86,2616.3043943180255,,2622.045937029823
87,2615.1290510309027,,2620.8708257597905
88,2614.0580500833285,,2619.8004165683824
89,2613.066466842663,,2618.809623601907
90,2612.137761231059,,2617.881594051352
91,2611.2600539112423,,2617.0050179129908
