t,J_propagator,J_onepass,J_bruteforce
1,25.519912262827248,,25.520039593182563
2,25.645748330793307,,25.645943158572692
3,25.042884024650746,,25.042915376244533
4,23.596966108306766,,23.597170004388037
5,21.47459447153234,,21.474975879175005
6,19.026979287261717,,19.027408651987713
7,16.605593404346067,,16.60599824972888
8,14.440486530365584,,14.440858964607067
9,12.626744724864642,,12.627055953735653
10,11.16783008142709,,11.168069967993896
11,10.022819805585987,,10.023007370487438
12,9.1373413320811,,9.137483640961582
13,8.458824897015523,,8.458931151008338
14,7.942260112421527,,7.942340225478342
15,7.551252104748828,7.55149776819912,7.551310510577691
16,7.257174391806406,7.257388233297682,7.257216445952828
17,7.0378056454565385,7.0379904987259625,7.03783538983499
18,6.875976773814073,6.876134549563286,6.87599752389529
19,6.75842960058228,6.758561120614752,6.758443824410925
20,6.674911732047405,6.675016953904112,6.67492116050049
21,6.6174807304141146,6.617559410550605,6.617486694745948
22,6.579976177144477,6.580028568452564,6.579979689227076
23,6.557619232709595,6.557647227703019,6.557621100962001
24,6.546707668270266,6.546716482110237,6.5467085854075915
25,6.544381583419224,6.544382183333299,6.5443821833334335
26,6.548441566142269,6.548489328233813,6.548443609567851
27,6.557206222849225,6.557292930844763,6.557209083007752
28,6.5693996301670925,6.569518246746506,6.569402911244993
29,6.584061957065854,6.584206465197452,6.584065419813474
30,6.600478325229712,6.600643596501861,6.600481833756402
31,6.618122234355869,6.618303917149475,6.618125718785181
32,6.636610736573541,6.636805159120947,6.636614167362605
33,6.655669137701889,6.655873222774865,6.6556725084770845
34,6.675103427201315,6.67531461620214,6.675106743646822
35,6.694778955556338,6.694995140561045,6.694782228529792
36,6.71460412745728,,6.714607368972304
37,6.734518084826107,,6.734521305917912
38,6.754481528667879,,6.75448473844538
39,6.7744699798084484,,6.7744731852122735
40,6.794468909330842,,6.794472115276331
41,6.814470281895114,,6.814473491596021
42,6.834470150515232,,6.834473365861348
43,6.854467021089641,,6.854470243008293
44,6.874460770519008,,6.874463999286852
45,6.894451955196029,,6.894455190687865
46,6.914441388693922,,6.914444630568044
47,6.934429900287976,,6.934433148117496
48,6.954418211116377,,6.95442146447457
49,6.974406883741972,,6.974410142253153
50,6.994396314912287,,6.994399578277172
51,7.01438675149695,,7.014390019500686
52,7.034378316821222,,7.034381589330582
53,7.054371039641086,,7.054374316595141
54,7.074364881399289,,7.074368162797344
55,7.09435975962093,,7.094363045509871
56,7.1143555666933,,7.114358857155555
57,7.134352184088314,,7.134355479231449
58,7.15434949251875,,7.154352792466783
59,7.174347378704642,,7.174350683591421
60,7.194345739463674,,7.194349049427789
61,7.21434448378931,,7.214347798970595
62,7.234343533491323,,7.2343468540285425
63,7.254342822867997,,7.254346148897485
64,7.274342297776434,,7.274345629431454
65,7.29434191437479,,7.294345251785431
66,7.314341637732167,,7.3143449810255
67,7.334341440438357,,7.334344789738843
68,7.354341301297338,,7.354344656727337
69,7.374341204151728,,7.374344565832067
70,7.394341136859837,,7.3943445049102845
71,7.414341090428909,,7.414344464968731
72,7.434341058297593,,7.434344439445963
73,7.454341035753575,,7.45434442362993
74,7.47434101946948,,7.474344414193846
75,7.494341007139321,,7.494344408832571
76,7.514340997198315,,7.51434440598237
77,7.534340988610327,,7.534344404608329
78,7.554340980709316,,7.554344404045703
79,7.574340973082799,,7.57434440388341
80,7.594340965487767,,7.594344403879978
