t,J_propagator,J_onepass,J_bruteforce
1,1829.9821905249632,,1830.0083029287707
2,1683.3747178098902,,1683.4240704665551
3,1588.506595407382,,1588.5241738714863
4,1545.7644300338911,,1545.794621727602
5,1544.767104616728,,1544.7780228065396
6,1537.5427934633626,,1537.6133016122815
7,1499.8430212024825,,1499.8783447482392
8,1427.192228764752,,1427.270966788326
9,1322.0606737154012,,1322.1029349402763
10,1194.0586128318753,,1194.0879314716105
11,1059.7310069532903,,1059.7814512273985
12,935.6358446758726,,935.6624859448208
13,831.4101309637897,,831.4274329303747
14,749.0627140649044,,749.0765910513721
15,685.9666731909722,,685.9800945585697
16,638.0264177908795,,638.0348021075886
17,601.3762463493634,,601.3864274497137
18,572.9884527805357,,572.9930329495568
19,550.6282310089941,,550.6327789312436
20,532.7321982969619,,532.736247103477
21,518.2017305939394,,518.2055991186459
22,506.26639723876065,,506.2694929556043
23,496.3753422529293,,496.3785894831503
24,488.1308718996324,,488.1337666528274
25,481.2353432017539,,481.2378269440735
26,475.46080127012704,,475.46329649963843
27,470.628724419146,,470.63103889842154
28,466.59393464616795,,466.59609043377105
29,463.23614251090913,,463.2383050080522
30,460.45403372764594,,460.45618833033467
31,458.16078410590825,,458.16282710520267
32,456.2811397376255,,456.2831724403414
33,454.75017930281217,,454.752178849892
34,453.5114853043582,,453.513468634269
35,452.5163404605206,,452.5183090998259
36,451.7228169784348,,451.7247714839026
37,451.09504730397447,,451.09699543473477
38,450.60257682191644,,450.60451857558047
39,450.2197182253255,,450.22165257159924
40,449.92496903121054,,449.9268994832345
41,449.70048124433043,,449.7024082879438
42,449.53154908285336,,449.5334737032445
43,449.40615672722055,,449.40807953275163
44,449.31456628476917,,449.3164878114134
45,449.24895315788217,,449.25087373875
46,449.203085239403,,449.2050051528208
47,449.1720448504793,,449.1739643045911
48,449.15198982938205,,449.1539089706266
49,449.1399502547778,,449.1418691757019
50,449.13365463028225,,449.1355733466776
51,449.13136923341375,,449.1332877410275
52,449.13180189207986,,449.13372059223593
53,449.1340737356518,,449.1359927132616
54,449.13753996346026,,449.13945924046396
55,449.1417427461196,,449.1436620980605
56,449.1463399818132,,449.1482593654039
57,449.1510676246981,,449.1529870150575
58,449.15587186414723,,449.15779134224755
59,449.16064981612504,,449.1625693460995
60,449.16534797211824,,449.16726755097756
61,449.1699517480431,,449.17187137684635
62,449.17446653820593,,449.1763862170639
63,449.1789083177554,,449.1808280483743
64,449.183297906054,,449.1852176883093
65,449.1876572516408,,449.1895770868432
66,449.19200711402385,,449.19392700318963
67,449.19636572819167,,449.19828567368785
68,449.20074818107196,,449.20266818002904
69,449.20516623747875,,449.2070862941331
70,449.20962851747265,,449.2115486294853
71,449.2141407993358,,449.2160609729004
72,449.21870647059245,,449.22062670648984
73,449.2233269589613,,449.2252472578465
74,449.22800217535735,,449.2299225380277
75,449.23273091215964,,449.2346513429101
76,449.23751120867877,,449.2394317049638
77,449.2423406218918,,449.2442611904436
78,449.2472165002885,,449.24913714224283
79,449.25213615504055,,449.2540568719354
80,449.2570970117314,,449.25901780639714
81,449.2620967212198,,449.264017595228
82,449.26713322951855,,449.2690541853781
83,449.2722048279938,,449.27412586914176
84,449.2773101813962,,449.27923131113494
85,449.2824483373692,,449.2843695592293
86,449.2876187267494,,449.289540043697
87,449.2928211517307,,449.2947425681382
88,449.29805577523996,,449.2999772950613
89,449.3033231004752,486.4875272144619,449.3052447284093
90,449.30862395389215,499.0453989989956,449.3105456948143
91,449.3139594651866,512.4857673375856,449.31588132485604
92,449.3193310500692,525.7517576258771,449.3212530352913
93,449.3247403995972,537.3697284741677,449.32666251288026
94,449.33018945078624,546.6806902700052,449.33211170016466
95,449.3356803905421,565.0525669978194,449.3376027834573
96,449.3412156381049,664.7114118255734,449.343138183077
97,449.3467978420161,916.7948331534454,449.3487205456869
98,449.35242986973935,494.70553176904446,449.3543527388872
99,449.35811479709065,449.3625411979707,449.36003784758145
100,449.3638559366519,468.2656219283034,449.3657791721887
101,449.3696567950521,474.41491009176957,449.3715802283582
102,449.37552110933615,490.9541348572293,449.3774447481104
103,449.3814528226514,511.0833226810594,449.3833766821376
104,449.3874561146107,531.375753961551,449.3893802031773
105,449.393535377384,549.2589979282794,449.39545971014303
106,449.399695240288,562.758719872858,449.401619833187
107,449.40594057631455,570.8069903986047,449.40786543923815
108,449.41227648416503,573.4613734358253,449.41420163808476
109,449.4187083410702,571.7346250807542,449.4206337890283
110,449.4252417405011,,449.42716750780386
111,449.4318825558266,,449.4338086738497
112,449.43863697453844,,449.44056343781307
113,449.4455113927693,,449.44743822914575
114,449.4525125379064,,449.4544397649173
115,449.45964741646736,,449.4615750569318
116,449.4669233532262,,449.46885142085716
117,449.4743479535602,,449.4762764842381
