t,J_propagator,J_onepass,J_bruteforce
1,899.4514201503815,,899.459243957479
2,1355.2200801111564,,1355.2330835554346
3,1847.161738259531,,1847.1857210577582
4,2365.31002907932,,2365.3520585303168
5,2891.617318941076,,2891.689037660294
6,4348.787662300318,,4348.95780192197
7,5728.031251197554,,5728.3334338250315
8,6955.594581664365,,6956.0494854397875
9,8015.966616749364,,8016.589615161549
10,8908.839282013012,,8909.626360384704
11,9645.070872746652,,9646.010152114897
12,10242.10280486406,,10243.17771847918
13,10720.06454735043,,10721.25636655683
14,11099.047484099296,,11100.337403657893
15,11397.498831133451,,11398.868957967143
16,11631.466384783915,,11632.902498602965
17,11814.410735813724,,11815.899887772586
18,11957.328495844622,,11958.862017798865
19,12069.045648649357,,12070.61269878372
20,12156.540688206782,,12158.13448321839
21,12225.283411995975,,12226.898827098657
22,12279.529497627838,,12281.162662617535
23,12322.573356756786,,12324.221106520714
24,12356.958399431382,,12358.615635470227
25,12384.632677380136,,12386.301707847599
26,12407.109515687924,,12408.781602471057
27,12425.52985571769,,12427.20850925528
28,12440.781061391304,,12442.467434575907
29,12453.545648014062,,12455.237720323707
30,12464.348813086133,,12466.04115484529
31,12473.581663464813,,12475.27888915947
32,12481.56124817022,,12483.259708646634
33,12488.51417364885,,12490.221659052639
34,12494.646870252585,,12496.348579666505
35,12500.086864989451,,12501.782742194597
36,12504.924968323368,,12506.634516011467
37,12509.27836453754,,12510.989764691518
38,12513.212889005588,,12514.915512015423
39,12516.75977271649,,12518.464287762316
40,12519.955718752728,,12521.677465693816
41,12522.878362289694,,12524.58783149737
42,12525.507555178492,,12527.2215614858
43,12527.87972473527,,12529.5997497115
44,12530.02409057311,,12531.739588243814
45,12531.93655235284,,12533.655280481618
46,12533.643780680586,,12535.358748423783
47,12535.137080471182,,12536.860180479734
48,12536.451108578842,,12538.168455536375
49,12537.577043329764,,12539.291470661716
50,12538.505171069353,,12540.236393622925
51,12539.28474120704,,12541.00985653344
52,12539.900270035776,,12541.618103316832
53,12540.352298234882,,12542.067100924765
54,12540.644784303258,,12542.36262200221
55,12540.789332773607,,12542.510305150863
56,12540.787818932718,,12542.515697579367
57,12540.65514162332,,12542.384284022139
58,12540.403094515563,,12542.121504932826
59,12540.009073669713,,12541.73276642539
60,12539.505421230837,,12541.223443935496
61,12538.883616775054,,12540.598881165146
62,12538.147951917732,,12539.864385586634
63,12537.309668684533,,12539.025221525935
64,12536.373423607152,,12538.086601641831
65,12535.33183698468,,12537.053677449963
66,12534.217722794408,,12535.931529418041
67,12533.00848595502,,12534.725157006491
68,12531.716088539983,,12533.439468998113
69,12530.35547675952,,12532.079274327545
70,12528.932194640973,,12530.649273597144
71,12527.43479430728,,12529.154051373991
72,12525.88487025139,,12527.598069380025
73,12524.2732722982,,12525.985660582184
74,12522.607344934935,,12524.321024223864
75,12520.893647312836,,12522.608221779785
76,12519.134695665252,,12520.851173808227
77,12517.34050267398,,12519.053657672452
78,12515.50574154014,,12517.219306071887
79,12513.637875767685,,12515.351606344897
80,12511.74866943152,,12513.453900470668
81,12509.822235172089,,12511.529385720458
82,12507.87370149119,,12509.581115886282
83,12505.90326989441,,12507.612003037077
84,12503.916375890982,,12505.624819734006
85,12501.915422163556,,12503.622201649021
86,12499.897730207995,,12501.60665053204
87,12497.875361980821,,12499.580537474343
88,12495.83860533286,,12497.546106417865
89,12493.806040995478,,12495.50547786463
90,12491.757387455516,,12493.460652753862
91,12489.708796721421,,12491.41351644389
92,12487.66489260128,,12489.365842796627
93,12485.619290256993,,12487.319298306873
94,12483.572094972254,,12485.275446267311
95,12481.535009846963,,12483.235750918662
96,12479.504874990846,,12481.201581602834
97,12477.477863273529,,12479.174216859672
98,12475.456950492955,,12477.15484846856
99,12473.446967019177,,12475.144585436787
100,12471.449049466051,,12473.144457882914
101,12469.459368706232,,12471.155420843166
102,12467.484035735886,,12469.17835797414
103,12465.519245708301,,12467.21408514941
104,12463.568175440718,88263.00893172012,12465.26335393677
105,12461.632032422618,88673.08081258522,12463.326854971412
106,12459.71196023122,89113.1526997312,12461.405221203486
107,12457.809354804009,89586.3380439722,12459.499031025933
108,12455.91601234861,90090.15808654248,12457.608811283057
109,12454.04433204379,90610.26078216778,12455.735040158126
110,12452.187036336018,81100.69518739013,12453.878149939816
111,12450.34811337836,71847.26020483763,12452.038529671161
112,12448.528614679308,64227.853857790535,12450.216527679804
113,12446.724014962852,58692.10729483558,12448.412453998273
114,12444.938812478089,56187.8211604293,12446.626582665023
115,12443.17172141726,56583.56309277579,12444.859153917196
116,12441.423573592943,57133.910672896774,12443.11037628456
117,12439.693795625199,57810.63812531222,12441.3804285724
118,12437.983899829225,58583.49012962844,12439.669461747179
119,12436.292713906356,59422.83273696175,12437.977600727778
120,12434.61956477112,60301.385657320636,12436.304946077415
121,12432.967123383334,61195.221837765486,12434.651575616646
122,12431.333968564515,62084.21807206017,12433.017545939938
123,12429.720653078577,64386.68571187447,12431.4028938651
124,12428.125338916967,96888.7972004088,12429.80763777548
125,12426.549567619055,,12428.231778927977
126,12424.993641631665,,12426.675302643607
127,12423.45680161213,,12425.138179474314
128,12421.940238495077,,12423.620366269093
129,12420.441005473791,,12422.121807190371
130,12418.962649917179,,12420.642434679467
131,12417.503333340926,,12419.182170353282
132,12416.062513906132,,12417.740925858832
133,12414.640306639441,,12416.318603663503
134,12413.237155850591,,12414.915097807372
135,12411.852756780732,,12413.530294607499
136,12410.486973466706,,12412.164073318178
137,12409.13907188748,,12410.816306750923
138,12407.810420983946,,12409.486861857236
139,12406.499094402829,,12408.175600265224
140,12405.206041791032,,12406.882378804788
141,12403.93169541349,,12405.607049968421
142,12402.674373157932,,12404.349462366328
143,12401.435704700592,,12403.109461148753
144,12400.2125256816,,12401.88688838088
145,12399.00724710922,,12400.681583424926
146,12397.81946036986,,12399.49338326224
147,12396.649102208996,,12398.322122825832
148,12395.495001175721,,12397.167635285916
149,12394.357330937388,,12396.029752327451
150,12393.236162752979,,12394.908304405935
151,12392.131608620402,,12393.803120986551
152,12391.042736178633,,12392.714030758161
153,12389.96977056899,,12391.640861851058
154,12388.91228244139,,12390.583442011328
155,12387.870620839476,,12389.541598790995
156,12386.844701640046,,12388.51515970237
157,12385.833910669933,,12387.503952366982
158,12384.837970678516,,12386.50780465843
159,12383.856677651778,,12385.526544832273
160,12382.890548369123,,12384.560001638096
161,12381.938840940411,,12383.608004431077
162,12381.001215426719,,12382.670383265293
163,12380.07851789195,,12381.74696899418
164,12379.16938035795,,12380.837593345657
165,12378.274114856289,,12379.942088999827
166,12377.392440964411,,12379.060289658226
167,12376.524226400288,,12378.192030103626
168,12375.670005829801,,12377.337146258944
169,12374.828277437598,,12376.495475236576
170,12374.000133058671,,12375.66685538396
171,12373.184586132033,,12374.851126323692
172,12372.38184382694,,12374.048128989534
173,12371.591412797274,,12373.25770565815
174,12370.813475302011,,12372.479699977204
175,12370.048252349066,,12371.71395698871
176,12369.294689339546,,12370.960323150272
177,12368.553347845653,,12370.21864635225
178,12367.823654940243,,12369.488775932614
179,12367.105542222787,,12368.770562688207
180,12366.399094163244,,12368.063858885667
181,12365.70388651538,,12367.368518267043
182,12365.019915160594,,12366.684396053866
183,12364.347348165327,,12366.01134895178
184,12363.685258987265,,12365.34923515047
185,12363.03410037682,,12364.697914324655
186,12362.393635869888,,12364.057247629686
187,12361.763665841007,,12363.42709769947
188,12361.143993501908,,12362.807328639947
189,12360.534566733932,,12362.197806024496
190,12359.935374125493,,12361.598396886015
191,12359.34609001621,,12361.00896970818
192,12358.766639076235,,12360.429394415802
193,12358.196981310084,,12359.859542363442
194,12357.636960789456,,12359.2992863226
195,12357.086234338383,,12358.748500465743
196,12356.544959117275,,12358.207060347533
197,12356.012868253207,,12357.674842886126
198,12355.489904422497,,12357.151726353582
199,12354.975937545845,,12356.63759044876
200,12354.470760177384,,12356.13231671592
